Cruise,Station,Lat,Long,Station,Depth,PATP_ng_L,SD_PATP_ng_L,PC,ATP_Flag
KM1906,UW 1,22.20,158,underway,,35.2,4.8,,
KM1906,UW 5,25.78,158,underway,,40.8,1.3,,
KM1906,UW 9,29.35,158,underway,,25.9,7.7,,
KM1906,UW 13,32.19,158,underway,,38.1,10.3,,
KM1906,UW 20,35.83,158,underway,,51.9,1.8,,
KM1906,UW 25,38.87,158,underway,,226.3,9.4,,
KM1906,UW 32,41.59,158,underway,,99.2,22.7,,
KM1906,UW 34,37.00,158,underway,,90.2,1.9,,
KM1906,UW 35,33.71,158,underway,,42.9,1.2,,
KM1906,UW 36,32.93,158,underway,,29.4,6.0,,
KM1906,UW 37,36.30,158,underway,,55.6,12.9,,
KM1906,UW 38,40.75,158,underway,,168.2,18.1,,
KM1906,UW 43,40.29,158,underway,,134.0,3.5,,
KM1906,UW 51,35.98,158,underway,,58.1,7.3,,
TN397,UW 1,31.13,-119.82,underway,4.5,59.4,,,
TN397,UW 2,30.76,-120.46,underway,4.5,49.4,,,
TN397,UW 3,30.1,-121.58,underway,4.5,80.3,,,
TN397,S01,28.44,-124.4,1,5.1,12.6,,2.02,
TN397,S01,28.44,-124.4,1,15,25.2,,2.39,
TN397,S02,27.07,-126.67,2,5,24.5,,1.98,
TN397,UW 4,27.07,-126.67,underway,4.5,22.8,,,
TN397,UW 5,25.96,-128.5,underway,4.5,38.3,,,
TN397,UW 6,24.29,-131.23,underway,4.5,26.8,,,
TN397,UW 7,23.1,-133.14,underway,4.5,27.7,,,
TN397,3,21.74,-135.31,3,5,21.8,,2.24,
TN397,4,19.51,-138.58,4,5.8,33.9,,1.95,
TN397,4,19.51,-138.58,4,15,80.2,,2.15,x
TN397,5,17.67,-140.16,5,5,24.5,,1.92,
TN397,6,13.95,-140,6,5,46.2,,2.44,
TN397,8,8.39,-140,8,5,36.4,,2.25,
TN397,9,4.77,-139.99,9,5.2,63.7,,3.19,
TN397,9,4.77,-139.99,9,15,112,,3.83,
TN397,UW 8,12.44,-140,4.5,underway,169.9,,,
TN397,7,10.7,-139.99,7,4.5,41.8,,2.92,
TN397,7,10.7,-139.99,7,14.9,80.9,,2.68,x
TN397,10,1.12,-140.01,10,5,46.5,,3.75,
TN397,11,0,-140,11,5,96.6,,4.5,
TN397,11,0,-140,11,15,88.1,,4.64,
TN397,12,-2.45,-140.05,12,5.3,69.3,,3.59,
TN397,12,-2.45,-140.05,12,15,35.2,,3.68,
TN397,13,0.11,-141.92,13,5,125.3,,5.32,
TN397,14,3.5,-144.43,14,4.8,53.6,,3.81,
TN397,15,6.5,-146.65,15,5.1,52.6,,3.55,
TN397,16,9.25,-148.7,16,5,36,,2.09,
TN397,17,11.91,-150.69,17,5.2,43.5,,1.89,