Cruise,Station,Date,Time_HST,DT_GMT,Depth
KM1906,UW 1,4/10/19,05:30,,4.5
KM1906,UW 5,4/11/19,05:30,,4.5
KM1906,UW 9,4/12/19,05:30,,4.5
KM1906,UW 13,4/13/19,05:35,,4.5
KM1906,UW 20,4/14/19,05:35,,4.5
KM1906,UW 25,4/15/19,05:40,,4.5
KM1906,UW 30,4/16/19,05:30,,4.5
KM1906,UW 31,4/17/19,05:50,,4.5
KM1906,UW 32,4/18/19,05:50,,4.5
KM1906,UW 34,4/20/19,05:30,,4.5
KM1906,UW 35,4/21/19,05:40,,4.5
KM1906,UW 36,4/22/19,05:50,,4.5
KM1906,UW 37,4/23/19,05:30,,4.5
KM1906,UW 38,4/24/19,05:50,,4.5
KM1906,UW 43,4/25/19,05:30,,4.5
KM1906,UW 51,4/26/19,05:30,,4.5
TN397,UW 1,,,2021-11-19T16:52:00.000Z,
TN397,UW 2,,,2021-11-19T19:55:00.000Z,
TN397,UW 3,,,2021-11-20T01:30:00.000Z,
TN397,S01,,,2021-11-20T18:01:27.000Z,
TN397,S01,,,2021-11-20T18:01:27.000Z,
TN397,S02,,,2021-11-21T12:36:53.000Z,
TN397,UW 4,,,2021-11-21T15:07:00.000Z,
TN397,UW 5,,,2021-11-22T02:16:00.000Z,
TN397,UW 6,,,2021-11-22T16:07:00.000Z,
TN397,UW 7,,,2021-11-23T00:02:00.000Z,
TN397,3,,,2021-11-23T13:26:35.000Z,
TN397,4,,,2021-11-25T18:44:45.000Z,
TN397,4,,,2021-11-25T18:44:45.000Z,
TN397,5,,,2021-11-26T13:30:36.000Z,
TN397,6,,,2021-11-27T13:27:52.000Z,
TN397,8,,,2021-11-30T13:29:16.000Z,
TN397,9,,,2021-12-01T22:04:11.000Z,
TN397,9,,,2021-12-01T22:04:11.000Z,
TN397,UW 8,,,2021-11-28T01:30:00.000Z,
TN397,7,,,2021-11-28T22:03:26.000Z,
TN397,7,,,2021-11-28T22:03:26.000Z,
TN397,10,,,2021-12-03T13:27:38.000Z,
TN397,11,,,2021-12-04T05:58:55.000Z,
TN397,11,,,2021-12-04T05:58:55.000Z,
TN397,12,,,2021-12-07T03:34:58.000Z,
TN397,12,,,2021-12-07T03:34:58.000Z,
TN397,13,,,2021-12-08T13:27:16.000Z,
TN397,14,,,2021-12-09T13:02:22.000Z,
TN397,15,,,2021-12-10T13:01:56.000Z,
TN397,16,,,2021-12-11T13:58:13.000Z,
TN397,17,,,2021-12-12T14:01:04.000Z,