SampID,Treatment,Replicate,POC_uM,PN_uM,Chlorophyte,Diatom,Dinoflagellate,Haptophyte,Metazoa,Other,,,,,,,,,,,
230213_Smp_T0Tote_1,Tote,1,2.608,0.398,0.007,0.005,0.350,0.060,0.036,0.543,,,,,,,,,,,
230213_Smp_T0Tote_2,Tote,2,2.909,0.367,0.000,0.002,0.348,0.061,0.119,0.469,,,,,,,,,,,
230213_Smp_T0Tote_3,Tote,3,5.494,0.458,0.002,0.000,0.319,0.037,0.373,0.269,,,,,,,,,,,
230213_Smp_T0Tote_4,Tote,4,2.661,0.316,0.004,0.000,0.273,0.039,0.311,0.373,,,,,,,,,,,
230213_Smp_TfinalC_1,C,1,4.808,0.508,0.332,0.080,0.284,0.061,0.065,0.178,,,,,,,,,,,
230213_Smp_TfinalC_2,C,2,4.947,0.471,0.009,0.036,0.468,0.033,0.000,0.454,,,,,,,,,,,
230213_Smp_TfinalC_3,C,3,6.471,0.486,0.010,0.037,0.291,0.096,0.000,0.567,,,,,,,,,,,
230213_Smp_TfinalF_1,F,1,7.239,0.748,0.029,0.354,0.094,0.054,0.011,0.459,,,,,,,,,,,
230213_Smp_TfinalF_2,F,2,5.860,0.575,0.259,0.045,0.374,0.091,0.000,0.231,,,,,,,,,,,
230213_Smp_TfinalF_3,F,3,5.092,0.549,0.005,0.043,0.568,0.115,0.002,0.267,,,,,,,,,,,
230213_Smp_TfinalN_1,N,1,18.672,1.770,0.013,0.595,0.322,0.014,0.033,0.024,,,,,,,,,,,
230213_Smp_TfinalN_2,N,2,21.705,1.534,0.013,0.846,0.064,0.008,0.000,0.069,,,,,,,,,,,
230213_Smp_TfinalN_3,N,3,18.695,1.781,0.018,0.763,0.025,0.030,0.000,0.164,,,,,,,,,,,
230213_Smp_TfinalNF_1,NF,1,19.990,1.841,0.007,0.916,0.042,0.004,0.009,0.022,,,,,,,,,,,
230213_Smp_TfinalNF_2,NF,2,22.517,2.476,0.006,0.975,0.005,0.005,0.000,0.008,,,,,,,,,,,
230213_Smp_TfinalNF_3,NF,3,17.683,1.769,0.018,0.781,0.150,0.007,0.009,0.036,,,,,,,,,,,
230213_Smp_TfinalNP_1,NP,1,21.446,1.798,,,,,,,,,,,,,,,,,
230213_Smp_TfinalNP_2,NP,2,15.551,1.883,0.096,0.249,0.251,0.020,0.000,0.383,,,,,,,,,,,
230213_Smp_TfinalNP_3,NP,3,17.625,1.430,,,,,,,,,,,,,,,,,
230213_Smp_TfinalNPF_1,NPF,1,25.475,1.941,0.009,0.709,0.204,0.015,0.001,0.063,,,,,,,,,,,
230213_Smp_TfinalNPF_2,NPF,2,18.986,2.182,0.153,0.462,0.161,0.032,0.003,0.188,,,,,,,,,,,
230213_Smp_TfinalNPF_3,NPF,3,18.869,1.915,0.004,0.936,0.038,0.005,0.001,0.016,,,,,,,,,,,
230213_Smp_TfinalP_1,P,1,6.995,0.660,0.182,0.049,0.404,0.019,0.003,0.343,,,,,,,,,,,
230213_Smp_TfinalP_2,P,2,9.136,0.824,0.639,0.028,0.133,0.054,0.000,0.146,,,,,,,,,,,
230213_Smp_TfinalP_3,P,3,,,,,,,,,,,,,,,,,,,
230213_Smp_TfinalPF_1,PF,1,5.719,0.606,0.018,0.318,0.207,0.155,0.012,0.290,,,,,,,,,,,
230213_Smp_TfinalPF_2,PF,2,13.651,1.168,0.140,0.064,0.054,0.442,0.000,0.301,,,,,,,,,,,
230213_Smp_TfinalPF_3,PF,3,7.976,1.172,0.282,0.162,0.175,0.035,0.000,0.346,,,,,,,,,,,