Rep,SampID,replicate,Batch,SizeFrac,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Trimethylamine N-oxide,NA,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Alanine,2886781,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Alanine,1037000,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Sarcosine,956098,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Serine,48383,NA,Flag,Smp_Remove
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Proline,38238556,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Glycine betaine,5976833536,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Threonine,373004,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Dimethylsulfonioacetate,400646144,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Alaninebetaine,929795712,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Isoleucine,279445824,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Asparagine,1110584,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Aspartic acid,2221292,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Dimethylsulfoniopropionate,6092083712,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Homarine,371331488,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Trigonelline,389005504,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Ectoine,40040504,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Proline betaine,173402464,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,(3-Carboxypropyl)trimethylammonium,121604088,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Glutamine,80703824,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Lysine,1978905,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Glutamic acid,755005,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Glutamic acid,50660152,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Hydroxyisoleucine,139972752,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Methionine,3207621,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,5-Hydroxyectoine,3603481,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Betonicine,171291440,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Carnitine,139185424,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Arginine,8797225,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Arsenobetaine,16144303,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Gonyol,137496304,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Tyrosine,7686230,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,2-O-alpha-D-Glucosylglycerol,75935,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Threonine Betaine (tentative),82920344,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Homoserine Betaine (tentative),387416384,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Taurine,34479660,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Isethionic acid,323505056,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,"(R)-2,3-Dihydroxypropane-1-sulfonate",54038768,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Cysteic acid,9599,Flag,Flag,Smp_Remove
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Sucrose,62314084,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Trehalose,3314358,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Trimethylamine N-oxide,NA,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,beta-Alanine,1259433,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Alanine,1146461,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Sarcosine,829828,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Serine,48383,NA,Flag,Smp_Remove
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Proline,30047394,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Glycine betaine,2963163648,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Threonine,338620,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Dimethylsulfonioacetate,172560048,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,beta-Alaninebetaine,436872544,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Isoleucine,132299040,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Asparagine,692730,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Aspartic acid,1516106,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Dimethylsulfoniopropionate,1618461568,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Homarine,204781104,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Trigonelline,206641280,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Ectoine,31522282,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Proline betaine,91007920,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,(3-Carboxypropyl)trimethylammonium,60628372,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Glutamine,80586744,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Lysine,1129296,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,beta-Glutamic acid,666540,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Glutamic acid,35223204,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Hydroxyisoleucine,81393456,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Methionine,1905415,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,5-Hydroxyectoine,3014636,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Betonicine,74463592,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Carnitine,86405336,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Arginine,5883944,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Arsenobetaine,9302572,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Gonyol,83082968,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Tyrosine,4523834,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,2-O-alpha-D-Glucosylglycerol,47739,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Threonine Betaine (tentative),54466436,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Homoserine Betaine (tentative),261450832,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Taurine,22315446,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Isethionic acid,91072040,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,"(R)-2,3-Dihydroxypropane-1-sulfonate",15474233,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Cysteic acid,NA,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Sucrose,18348658,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Trehalose,964043,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Trimethylamine N-oxide,NA,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,beta-Alanine,1837991,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Alanine,591199,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Sarcosine,742713,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Serine,48383,NA,Flag,Smp_Remove
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Proline,31735034,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Glycine betaine,4443326464,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Threonine,28658.25,NA,Flag,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Dimethylsulfonioacetate,194551424,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,beta-Alaninebetaine,710387712,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Isoleucine,198052608,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Asparagine,770354,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Aspartic acid,1769851,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Dimethylsulfoniopropionate,2136444672,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Homarine,331482944,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Trigonelline,291213984,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Ectoine,43384392,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Proline betaine,138514880,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,(3-Carboxypropyl)trimethylammonium,82856360,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Glutamine,59048768,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Lysine,1978051,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,beta-Glutamic acid,680972,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Glutamic acid,46526260,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Hydroxyisoleucine,140572288,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Methionine,2721345,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,5-Hydroxyectoine,4700825,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Betonicine,110242696,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Carnitine,120260864,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Arginine,7741322,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Arsenobetaine,13586331,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Gonyol,71758576,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Tyrosine,6126111,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,2-O-alpha-D-Glucosylglycerol,0,Flag,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Threonine Betaine (tentative),99195656,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Homoserine Betaine (tentative),373992544,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Taurine,16143326,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Isethionic acid,250839888,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,"(R)-2,3-Dihydroxypropane-1-sulfonate",31891212,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Cysteic acid,9599,Flag,Flag,Smp_Remove
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Sucrose,51522064,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Trehalose,2540858,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Trimethylamine N-oxide,NA,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,beta-Alanine,627372,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Alanine,488396,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Sarcosine,19782.25,NA,Flag,Smp_Remove
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Serine,48383,NA,Flag,Smp_Remove
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Proline,8690877,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Glycine betaine,1173682560,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Threonine,28658.25,NA,Flag,Smp_Remove
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Dimethylsulfonioacetate,40224580,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,beta-Alaninebetaine,224022864,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Isoleucine,110022312,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Asparagine,387764,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Aspartic acid,1326972,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Dimethylsulfoniopropionate,248294640,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Homarine,39996116,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Trigonelline,135421712,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Ectoine,23872294,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Proline betaine,69553696,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,(3-Carboxypropyl)trimethylammonium,22917540,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Glutamine,77605632,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Lysine,972018,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,beta-Glutamic acid,462686,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Glutamic acid,26443258,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Hydroxyisoleucine,66414608,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Methionine,106752,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,5-Hydroxyectoine,2888871,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Betonicine,47497088,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Carnitine,62080512,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Arginine,1676531,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Arsenobetaine,7929709,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Gonyol,10959135,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Tyrosine,2389926,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,2-O-alpha-D-Glucosylglycerol,0,Flag,Flag,Smp_Remove
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Threonine Betaine (tentative),47160264,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Homoserine Betaine (tentative),134644368,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Taurine,2150340,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Isethionic acid,48482800,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,"(R)-2,3-Dihydroxypropane-1-sulfonate",2547767,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Cysteic acid,524290,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Sucrose,37323952,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Trehalose,1320506,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Trimethylamine N-oxide,NA,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,beta-Alanine,2083747,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Alanine,1338321,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Sarcosine,485821,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Serine,48383,NA,Flag,Smp_Remove
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Proline,23523358,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Glycine betaine,3383257088,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Threonine,350935,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Dimethylsulfonioacetate,362665184,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,beta-Alaninebetaine,511809536,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Isoleucine,84413192,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Asparagine,601539,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Aspartic acid,702486,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Dimethylsulfoniopropionate,2391332864,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Homarine,195792528,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Trigonelline,272609056,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Ectoine,32734154,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Proline betaine,86635472,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,(3-Carboxypropyl)trimethylammonium,63989516,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Glutamine,42793288,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Lysine,1168906,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,beta-Glutamic acid,757389,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Glutamic acid,28246986,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Hydroxyisoleucine,60880460,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Methionine,1491202,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,5-Hydroxyectoine,7703106,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Betonicine,70887432,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Carnitine,88485656,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Arginine,4055394,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Arsenobetaine,6306989,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Gonyol,175234080,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Tyrosine,3717770,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,2-O-alpha-D-Glucosylglycerol,54416,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Threonine Betaine (tentative),15644325,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Homoserine Betaine (tentative),149834432,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Taurine,23757492,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Isethionic acid,100024216,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,"(R)-2,3-Dihydroxypropane-1-sulfonate",13476708,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Cysteic acid,9599,Flag,Flag,Smp_Remove
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Sucrose,8795052,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Trehalose,2294908,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Trimethylamine N-oxide,NA,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,beta-Alanine,1826563,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Alanine,625837,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Sarcosine,433092,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Serine,48383,NA,Flag,Smp_Remove
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Proline,22382572,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Glycine betaine,4912871936,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Threonine,454583,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Dimethylsulfonioacetate,397805952,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,beta-Alaninebetaine,681223808,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Isoleucine,130700160,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Asparagine,842829,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Aspartic acid,944146,NA,NA,NA
