Rep,Cruise,Injec_vol
221006_Smp_S7_C1_D2_C,RC078,2
221006_Smp_S7_C2_D3_A,RC078,2
221006_Smp_S7_C2_D3_B,RC078,2
221006_Smp_S7_C2_D3_Blk,RC078,2
221006_Smp_S7_C2_D3_C,RC078,2
221006_Smp_S7_C2_D4_A,RC078,2
221006_Smp_S7_C2_D4_B,RC078,2
221006_Smp_S7_C2_D4_C,RC078,2
221006_Smp_S7_C3_D5_A,RC078,2
221006_Smp_S7_C3_D5_B,RC078,2
221006_Smp_S7_C3_D5_Blk,RC078,2
221006_Smp_S7_C3_D5_C,RC078,2
221006_Smp_S7_C3_D6_A,RC078,2
221006_Smp_S7_C3_D6_B,RC078,2
221006_Smp_S7_C3_D6_C,RC078,2
221006_Smp_S8_C1_D1_A_2L,RC078,2
221006_Smp_S8_C1_D1_A_4L,RC078,2
221006_Smp_S8_C1_D2_A,RC078,2
240801_Std_4uMStdsMix1InH2O_1,G4_DepthProfiles,2
240801_Std_4uMStdsMix1InH2O_2,G4_DepthProfiles,2
240801_Std_4uMStdsMix2InH2O_1,G4_DepthProfiles,2
240801_Std_4uMStdsMix2InH2O_2,G4_DepthProfiles,2
240801_Std_4uMStdsMix1InMatrix_1,G4_DepthProfiles,2
240801_Std_4uMStdsMix1InMatrix_2,G4_DepthProfiles,2
240801_Std_4uMStdsMix2InMatrix_1,G4_DepthProfiles,2
240801_Std_4uMStdsMix2InMatrix_2,G4_DepthProfiles,2
240801_Std_H2OinMatrix_1,G4_DepthProfiles,2
240801_Std_H2OinMatrix_2,G4_DepthProfiles,2
240801_Poo_G4-DepthProfiles_Full1,G4_DepthProfiles,2
240801_Poo_G4-DepthProfiles_Full2,G4_DepthProfiles,2
240801_Poo_G4-DepthProfiles_Full3,G4_DepthProfiles,2
240801_Poo_G4-DepthProfiles_Full4,G4_DepthProfiles,2
240801_Poo_G4-DepthProfiles_Half1,G4_DepthProfiles,1
240801_Poo_G4-DepthProfiles_Half2,G4_DepthProfiles,1
240801_Poo_G4-DepthProfiles_Half3,G4_DepthProfiles,1
240801_Poo_G4-DepthProfiles_Half4,G4_DepthProfiles,1
240801_Blk_TN397_S4_500m_Blk,G4_DepthProfiles,2
240801_Blk_TN397_S4_200m_Blk,G4_DepthProfiles,2
240801_Smp_TN397_S1_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S1_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S1_DCM_C,G4_DepthProfiles,2
240801_Smp_TN397_S4_15m_A,G4_DepthProfiles,2
240801_Smp_TN397_S4_15m_B,G4_DepthProfiles,2
240801_Smp_TN397_S4_45m_A,G4_DepthProfiles,2
240801_Smp_TN397_S4_45m_B,G4_DepthProfiles,2
240801_Smp_TN397_S4_200m_A,G4_DepthProfiles,2
240801_Smp_TN397_S4_200m_B,G4_DepthProfiles,2
240801_Smp_TN397_S4_500m_A,G4_DepthProfiles,2
240801_Smp_TN397_S4_1000m_A,G4_DepthProfiles,2
240801_Smp_TN397_S4_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S4_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S4_DCM+50_A,G4_DepthProfiles,2
240801_Smp_TN397_S4_DCM+50_B,G4_DepthProfiles,2
240801_Smp_TN397_S6_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S6_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S6_DCM_C,G4_DepthProfiles,2
240801_Smp_TN397_S7_15m_A,G4_DepthProfiles,2
240801_Smp_TN397_S7_15m_B,G4_DepthProfiles,2
240801_Smp_TN397_S7_30m_A,G4_DepthProfiles,2
240801_Smp_TN397_S7_30m_B,G4_DepthProfiles,2
240801_Smp_TN397_S7_200m_A,G4_DepthProfiles,2
240801_Smp_TN397_S7_200m_B,G4_DepthProfiles,2
240801_Smp_TN397_S7_500m_B,G4_DepthProfiles,2
240801_Smp_TN397_S7_1000m_B,G4_DepthProfiles,2
240801_Smp_TN397_S7_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S7_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S7_DCM+50_A,G4_DepthProfiles,2
240801_Smp_TN397_S7_DCM+50_B,G4_DepthProfiles,2
240801_Smp_TN397_S9_15m_A,G4_DepthProfiles,2
240801_Smp_TN397_S9_15m_B,G4_DepthProfiles,2
240801_Smp_TN397_S9_45m_A,G4_DepthProfiles,2
240801_Smp_TN397_S9_45m_B,G4_DepthProfiles,2
240801_Smp_TN397_S9_200m_A,G4_DepthProfiles,2
240801_Smp_TN397_S9_200m_B,G4_DepthProfiles,2
240801_Smp_TN397_S9_500m_A,G4_DepthProfiles,2
240801_Smp_TN397_S9_1000m_B,G4_DepthProfiles,2
240801_Smp_TN397_S9_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S9_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S9_DCM+50_A,G4_DepthProfiles,2
240801_Smp_TN397_S9_DCM+50_B,G4_DepthProfiles,2
240801_Smp_TN397_S10_60m_A,G4_DepthProfiles,2
240801_Smp_TN397_S10_60m_B,G4_DepthProfiles,2
240801_Smp_TN397_S10_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S10_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S10_DCM_C,G4_DepthProfiles,2
240801_Smp_TN397_S11_15m_A,G4_DepthProfiles,2
240801_Smp_TN397_S11_15m_B,G4_DepthProfiles,2
240801_Smp_TN397_S11_45m_A,G4_DepthProfiles,2
240801_Smp_TN397_S11_45m_B,G4_DepthProfiles,2
240801_Smp_TN397_S11_200m_A,G4_DepthProfiles,2
240801_Smp_TN397_S11_500m_A,G4_DepthProfiles,2
240801_Smp_TN397_S11_1000m_A,G4_DepthProfiles,2
240801_Smp_TN397_S11_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S11_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S11_DCM+50_A,G4_DepthProfiles,2
240801_Smp_TN397_S11_DCM+50_B,G4_DepthProfiles,2
240801_Smp_TN397_S12_15m_A,G4_DepthProfiles,2
240801_Smp_TN397_S12_15m_B,G4_DepthProfiles,2
240801_Smp_TN397_S12_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S12_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S12_DCM+50_A,G4_DepthProfiles,2
240801_Smp_TN397_S12_DCM+50_B,G4_DepthProfiles,2
240801_Smp_TN397_S13_15m_A,G4_DepthProfiles,2
240801_Smp_TN397_S13_15m_B,G4_DepthProfiles,2
240801_Smp_TN397_S13_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S13_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S14_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S14_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S14_DCM_C,G4_DepthProfiles,2
240801_Smp_TN397_S15_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S15_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S15_DCM_C,G4_DepthProfiles,2
240801_Smp_TN397_S16_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S16_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S16_DCM_C,G4_DepthProfiles,2
240801_Smp_TN397_S17_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S17_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S17_DCM_C,G4_DepthProfiles,2
240801_Smp_TN397_S18_DCM_A,G4_DepthProfiles,2
240801_Smp_TN397_S18_DCM_B,G4_DepthProfiles,2
240801_Smp_TN397_S18_DCM_C,G4_DepthProfiles,2
190715_Std_4uMStdsMix1InH2O_1,G3_DepthProfiles,2
190715_Std_4uMStdsMix1InH2O_2,G3_DepthProfiles,2
190715_Std_4uMStdsMix1InMatrix_1,G3_DepthProfiles,2
190715_Std_4uMStdsMix1InMatrix_2,G3_DepthProfiles,2
190715_Std_4uMStdsMix2InH2O_1,G3_DepthProfiles,2
190715_Std_4uMStdsMix2InH2O_2,G3_DepthProfiles,2
190715_Std_4uMStdsMix2InMatrix_1,G3_DepthProfiles,2
190715_Std_4uMStdsMix2InMatrix_2,G3_DepthProfiles,2
190715_Std_H2OinMatrix_1,G3_DepthProfiles,2
190715_Std_H2OinMatrix_2,G3_DepthProfiles,2
190715_Blk_KM1906S6C31000-Blk_B,G3_DepthProfiles,2
190715_Blk_KM1906S6C31000-Blk_C,G3_DepthProfiles,2
190715_Blk_KM1906U14-Blk_C,G3_DepthProfiles,2
190715_Poo_TruePooKM1906_Full1,G3_DepthProfiles,2
190715_Poo_TruePooKM1906_Full2,G3_DepthProfiles,2
190715_Poo_TruePooKM1906_Full3,G3_DepthProfiles,2
190715_Poo_TruePooKM1906_Half1,G3_DepthProfiles,1
190715_Poo_TruePooKM1906_Half2,G3_DepthProfiles,1
190715_Poo_TruePooKM1906_Half3,G3_DepthProfiles,1
190715_Smp_KM1906S4C27D40_A,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D40_B,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D40_C,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D70_A,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D70_B,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D70_C,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D125_A,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D125_B,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D125_C,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D300_A,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D300_B,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D300_C,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D500_A,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D500_B,G3_DepthProfiles,2
190715_Smp_KM1906S4C27D500_C,G3_DepthProfiles,2
190715_Smp_KM1906S4C28D15_A,G3_DepthProfiles,2
190715_Smp_KM1906S4C28D15_B,G3_DepthProfiles,2
190715_Smp_KM1906S4C28D15_C,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D80_A,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D80_B,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D80_C,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D125_A,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D125_B,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D125_C,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D200_A,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D200_B,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D200_C,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D400_A,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D400_B,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D400_C,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D1000_A,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D1000_B,G3_DepthProfiles,2
190715_Smp_KM1906S5C3D1000_C,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D75_A,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D75_B,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D75_C,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D115_A,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D115_B,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D115_C,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D200_A,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D200_B,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D200_C,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D400_A,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D400_B,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D400_C,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D1000_A,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D1000_B,G3_DepthProfiles,2
190715_Smp_KM1906S6C3D1000_C,G3_DepthProfiles,2
190715_Smp_KM1906U12_A,G3_DepthProfiles,2
190715_Smp_KM1906U12_B,G3_DepthProfiles,2
190715_Smp_KM1906U12_C,G3_DepthProfiles,2
190715_Smp_KM1906U13_A,G3_DepthProfiles,2
190715_Smp_KM1906U13_B,G3_DepthProfiles,2
190715_Smp_KM1906U13_C,G3_DepthProfiles,2
230213_Std_4uMStdsMix1InH2O_1,PERIFIX,2
230213_Std_4uMStdsMix1InH2O_2,PERIFIX,2
230213_Std_4uMStdsMix1InMatrix_1,PERIFIX,2
230213_Std_4uMStdsMix1InMatrix_2,PERIFIX,2
230213_Std_4uMStdsMix2InH2O_1,PERIFIX,2
230213_Std_4uMStdsMix2InH2O_2,PERIFIX,2
230213_Std_4uMStdsMix2InMatrix_1,PERIFIX,2
230213_Std_4uMStdsMix2InMatrix_2,PERIFIX,2
230213_Std_H2OinMatrix_1,PERIFIX,2
230213_Std_H2OinMatrix_2,PERIFIX,2
230213_Blk_Blk-TfinalC_1,PERIFIX,2
230213_Blk_Blk-TfinalF_1,PERIFIX,2
230213_Blk_Blk-TfinalN_1,PERIFIX,2
230213_Blk_Blk-TfinalNF_1,PERIFIX,2
230213_Blk_Blk-TfinalNP_1,PERIFIX,2
230213_Blk_Blk-TfinalNPF_1,PERIFIX,2
230213_Blk_Blk-TfinalP_1,PERIFIX,2
230213_Blk_Blk-TfinalPF_1,PERIFIX,2
230213_Poo_PERIFIX_Full1,PERIFIX,2
230213_Poo_PERIFIX_Full2,PERIFIX,2
230213_Poo_PERIFIX_Full3,PERIFIX,2
230213_Poo_PERIFIX_Half1,PERIFIX,1
230213_Poo_PERIFIX_Half2,PERIFIX,1
230213_Poo_PERIFIX_Half3,PERIFIX,1
230213_Smp_T0Tote_1,PERIFIX,2
230213_Smp_T0Tote_2,PERIFIX,2
230213_Smp_T0Tote_3,PERIFIX,2
230213_Smp_T0Tote_4,PERIFIX,2
230213_Smp_TfinalC_1,PERIFIX,2
230213_Smp_TfinalC_2,PERIFIX,2
230213_Smp_TfinalC_3,PERIFIX,2
230213_Smp_TfinalF_1,PERIFIX,2
230213_Smp_TfinalF_2,PERIFIX,2
230213_Smp_TfinalF_3,PERIFIX,2
230213_Smp_TfinalN_1,PERIFIX,2
230213_Smp_TfinalN_2,PERIFIX,2
230213_Smp_TfinalN_3,PERIFIX,2
230213_Smp_TfinalNF_1,PERIFIX,2
230213_Smp_TfinalNF_2,PERIFIX,2
230213_Smp_TfinalNF_3,PERIFIX,2
230213_Smp_TfinalNP_1,PERIFIX,2
230213_Smp_TfinalNP_2,PERIFIX,2
230213_Smp_TfinalNP_3,PERIFIX,2
230213_Smp_TfinalNPF_1,PERIFIX,2
230213_Smp_TfinalNPF_2,PERIFIX,2
230213_Smp_TfinalNPF_3,PERIFIX,2
230213_Smp_TfinalP_1,PERIFIX,2
230213_Smp_TfinalP_2,PERIFIX,2
230213_Smp_TfinalP_3,PERIFIX,2
230213_Smp_TfinalPF_1,PERIFIX,2
230213_Smp_TfinalPF_2,PERIFIX,2
230213_Smp_TfinalPF_3,PERIFIX,2
