SampID,Vol_L,Treatment,Lat,Long,Local_Date,Local_Time,depth_m
230213_Blk_Blk-TfinalC_1,2,C,21.0892,-158.0743,9/4/21,,15
230213_Blk_Blk-TfinalF_1,2,F,21.0892,-158.0743,9/4/21,,15
230213_Blk_Blk-TfinalN_1,2,N,21.0892,-158.0743,9/4/21,,15
230213_Blk_Blk-TfinalNF_1,2,NF,21.0892,-158.0743,9/4/21,,15
230213_Blk_Blk-TfinalNP_1,2,P,21.0892,-158.0743,9/4/21,,15
230213_Blk_Blk-TfinalNPF_1,2,NPF,21.0892,-158.0743,9/4/21,,15
230213_Blk_Blk-TfinalP_1,2,P,21.0892,-158.0743,9/4/21,,15
230213_Blk_Blk-TfinalPF_1,2,PF,21.0892,-158.0743,9/4/21,,15
230213_Smp_T0Tote_1,9,Tote,21.0892,-158.0743,8/9/21,21:00,15
230213_Smp_T0Tote_2,8.9,Tote,21.0892,-158.0743,8/9/21,21:00,15
230213_Smp_T0Tote_3,7.5,Tote,21.0892,-158.0743,8/9/21,21:00,15
230213_Smp_T0Tote_4,9,Tote,21.0892,-158.0743,8/9/21,21:00,15
230213_Smp_TfinalC_1,2,C,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalC_2,2,C,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalC_3,2,C,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalF_1,1.925,F,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalF_2,2,F,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalF_3,2,F,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalN_1,2,N,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalN_2,2,N,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalN_3,1.685,N,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalNF_1,1.59,NF,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalNF_2,2,NF,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalNF_3,1.85,NF,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalNP_1,1.635,NP,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalNP_2,2,NP,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalNP_3,2,NP,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalNPF_1,2,NPF,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalNPF_2,2,NPF,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalNPF_3,2,NPF,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalP_1,2,P,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalP_2,2,P,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalP_3,2,P,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalPF_1,2,PF,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalPF_2,2,PF,21.0892,-158.0743,9/7/21,18:45,15
230213_Smp_TfinalPF_3,2,PF,21.0892,-158.0743,9/7/21,18:45,15