parent_id,sample_id,Local_Date,Local_Time
S1_C1_5m,S1_C1_5m_A,6/3/22,16:00
S1_C1_5m,S1_C1_5m_B,6/3/22,16:00
S1_C1_5m,S1_C1_5m_C,6/3/22,16:00
S1_C1_DCM,S1_C1_DCM_A,6/3/22,15:25
S1_C1_DCM,S1_C1_DCM_B,6/3/22,15:25
S1_C1_DCM,S1_C1_DCM_C,6/3/22,15:25
S2_C1_SRF,S2_C1_SRF_A,6/3/22,19:30
S2_C1_SRF,S2_C1_SRF_B,6/3/22,19:30
S2_C1_SRF,S2_C1_SRF_C,6/3/22,19:30
S2_C2_D1,S2_C2_D1_A,6/4/22,6:30
S2_C2_D1,S2_C2_D1_B,6/4/22,6:30
S2_C2_D1,S2_C2_D1_C,6/4/22,6:30
S2_C2_D2,S2_C2_D2_A,6/4/22,6:30
S2_C2_D2,S2_C2_D2_B,6/4/22,6:30
S2_C2_D2,S2_C2_D2_C,6/4/22,6:30
S2_C3_D3,S2_C3_D3_A,6/4/22,8:30
S2_C3_D3,S2_C3_D3_B,6/4/22,8:30
S2_C3_D3,S2_C3_D3_C,6/4/22,8:30
S2_C3_D4,S2_C3_D4_A,6/4/22,8:30
S2_C3_D4,S2_C3_D4_B,6/4/22,8:30
S2_C3_D4,S2_C3_D4_C,6/4/22,8:30
S2_C4_D5,S2_C4_D5_A,6/4/22,10:30
S2_C4_D5,S2_C4_D5_B,6/4/22,10:30
S2_C4_D5,S2_C4_D5_C,6/4/22,10:30
S2_C4_D6,S2_C4_D6_A,6/4/22,10:30
S2_C4_D6,S2_C4_D6_B,6/4/22,10:30
S2_C4_D6,S2_C4_D6_C,6/4/22,10:30
S3_C1_D1,S3_C1_D1_A,6/5/22,9:00
S3_C1_D1,S3_C1_D1_B,6/5/22,9:00
S3_C1_D1,S3_C1_D1_C,6/5/22,9:00
S3_C1_D2,S3_C1_D2_A,6/5/22,9:00
S3_C1_D2,S3_C1_D2_B,6/5/22,9:00
S3_C1_D2,S3_C1_D2_C,6/5/22,9:00
S3_C2_D3,S3_C2_D3_A,6/5/22,11:00
S3_C2_D3,S3_C2_D3_B,6/5/22,11:00
S3_C2_D3,S3_C2_D3_C,6/5/22,11:00
S3_C2_D4,S3_C2_D4_A,6/5/22,11:00
S3_C2_D4,S3_C2_D4_B,6/5/22,11:00
S3_C2_D4,S3_C2_D4_C,6/5/22,11:00
S4_C1_D1,S4_C1_D1_A,6/6/22,16:00
S4_C1_D1,S4_C1_D1_B,6/6/22,16:00
S4_C1_D1,S4_C1_D1_C,6/6/22,16:00
S4_C1_D2,S4_C1_D2_A,6/6/22,16:00
S4_C1_D2,S4_C1_D2_B,6/6/22,16:00
S4_C1_D2,S4_C1_D2_C,6/6/22,16:00
S4_C2_D3,S4_C2_D3_A,6/6/22,16:00
S4_C2_D3,S4_C2_D3_B,6/6/22,16:00
S4_C2_D3,S4_C2_D3_C,6/6/22,16:00
S4_C2_D4,S4_C2_D4_A,6/6/22,16:00
S4_C2_D4,S4_C2_D4_B,6/6/22,16:00
S4_C2_D4,S4_C2_D4_C,6/6/22,16:00
S4_C1_D1,S4_C1_D1_Blk,,
S4_C1_D2,S4_C1_D2_Blk,,
S4_C2_D3,S4_C2_D3_Blk,,
S4_C2_D4,S4_C2_D4_Blk,,
S5_C3_D3,S5_C3_D3_A,6/7/22,10:00
S5_C3_D3,S5_C3_D3_B,6/7/22,10:00
S5_C3_D3,S5_C3_D3_C,6/7/22,10:00
S5_C3_D2,S5_C3_D2_A,6/7/22,10:00
S5_C3_D2,S5_C3_D2_B,6/7/22,10:00
S5_C3_D2,S5_C3_D2_C,6/7/22,10:00
S5_C3_D1,S5_C3_D1_A,6/7/22,10:00
S5_C3_D1,S5_C3_D1_B,6/7/22,10:00
S5_C3_D1,S5_C3_D1_C,6/7/22,10:00
S6_C1_D1,S6_C1_D1_A,6/7/22,17:30
S6_C1_D1,S6_C1_D1_B,6/7/22,17:30
S6_C1_D1,S6_C1_D1_C,6/7/22,17:30
S6_C1_D2,S6_C1_D2_A,6/7/22,17:30
S6_C1_D2,S6_C1_D2_B,6/7/22,17:30
S6_C1_D2,S6_C1_D2_C,6/7/22,17:30
S6_C2_D3,S6_C2_D3_A,6/7/22,19:00
S6_C2_D3,S6_C2_D3_B,6/7/22,19:00
S6_C2_D3,S6_C2_D3_C,6/7/22,19:00
S6_C2_D4,S6_C2_D4_A,6/7/22,19:00
S6_C2_D4,S6_C2_D4_B,6/7/22,19:00
S6_C2_D4,S6_C2_D4_C,6/7/22,19:00
S7_C1_D1,S7_C1_D1_A,6/8/22,8:20
S7_C1_D1,S7_C1_D1_B,6/8/22,8:20
S7_C1_D1,S7_C1_D1_C,6/8/22,8:20
S7_C1_D2,S7_C1_D2_A,6/8/22,8:20
S7_C1_D2,S7_C1_D2_B,6/8/22,8:20
S7_C1_D2,S7_C1_D2_C,6/8/22,8:20
S7_C2_D3,S7_C2_D3_A,6/8/22,8:20
S7_C2_D3,S7_C2_D3_B,6/8/22,8:20
S7_C2_D3,S7_C2_D3_C,6/8/22,8:20
S7_C2_D4,S7_C2_D4_A,6/8/22,8:20
S7_C2_D4,S7_C2_D4_B,6/8/22,8:20
S7_C2_D4,S7_C2_D4_C,6/8/22,8:20
S7_C3_D5,S7_C3_D5_A,6/8/22,8:20
S7_C3_D5,S7_C3_D5_B,6/8/22,8:20
S7_C3_D5,S7_C3_D5_C,6/8/22,8:20
S7_C3_D6,S7_C3_D6_A,6/8/22,8:20
S7_C3_D6,S7_C3_D6_B,6/8/22,8:20
S7_C3_D6,S7_C3_D6_C,6/8/22,8:20
S7_C1_D1,S7_C1_D1_Blk,6/8/22,19:30
S7_C2_D3,S7_C2_D3_Blk,6/8/22,19:30
S7_C3_D5,S7_C3_D5_Blk,6/8/22,19:30
S8_C1_D1,S8_C1_D1_A_4L,6/9/22,19:30
S8_C1_D2,S8_C1_D2_A,6/10/22,19:30
S8_C1_D1,S8_C1_D1_A_2L,6/11/22,20:00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,